site,area,Lon,Lat,X_tm35fin,Y_tm35fin
MAL088,KIL,20.7247547,69.08754451999998,250397.53720249943,7676908.134680091
MAL089,KIL,20.73277064,69.08794748000001,250720.01476387348,7676920.233844092
MAL090,KIL,20.74927186,69.09089293,251407.85923987266,7677180.166110553
MAL091,KIL,20.639905340000002,69.08694351999999,247025.94059174234,7677189.401183357
MAL092,KIL,20.64793202,69.09026734999999,247382.58905887083,7677525.208553741
MAL093,KIL,20.65675529,69.08769840000001,247702.8016633269,7677203.713606524
MAL094,KIL,20.672421100000005,69.09138145999998,248366.34678420488,7677548.100202524
MAL095,KIL,20.685563680000005,69.08900126999997,248860.10376431237,7677229.979346681
MAL096,KIL,20.700649050000003,69.09081044999999,249478.98351093417,7677369.046033035
MAL097,KIL,20.704035279999996,69.09225714999998,249629.79728786065,7677515.793006807
MAL098,KIL,20.72870791,69.09370927999998,250624.56105053096,7677576.36891059
MAL099,KIL,20.72905935,69.09372718,250638.6981726788,7677576.925615132
MAL100,KIL,20.749584050000006,69.09134335999998,251425.35414748374,7677228.902018476
MAL201,KIL,20.657202999999996,69.069579,247511.7363585506,7675190.6930382615
MAL999,KIL,20.749584050000006,69.09134335999998,251425.35414748374,7677228.902018476
MI103,KIL,20.801442439924077,69.06189168010246,253149.9830938414,7673749.703392847
MI1043,KIL,20.83382949036227,69.05402876819169,254347.94550357765,7672746.622541847
MI1057,KIL,20.832138252375813,69.06030407377821,254351.08052774234,7673450.1090933075
MI1069,KIL,20.83056534620618,69.06562566212524,254348.26489981284,7674047.2349290755
MI1105,KIL,20.832295310418722,69.0638996368662,254397.60773691873,7673848.672007775
MI1117,KIL,20.83078886810629,69.06924137892807,254397.6665243343,7674447.768059971
MI11204,KIL,20.824896007160106,69.04851606947248,253931.2335170318,7672170.42092361
MI11208,KIL,20.829104989265822,69.05082727625671,254124.3803444026,7672410.1262045745
MI11214,KIL,20.81813883968171,69.07536116385008,253964.2520884694,7675177.943929919
MI11216,KIL,20.81813114668954,69.07290748227273,253936.38678892693,7674905.563711383
MI11219,KIL,20.817220999144812,69.05471100410574,253695.86349433762,7672889.022673686
MI11225,KIL,20.82078099938041,69.06835299593531,253990.42276803686,7674389.278780866
MI11226,KIL,20.842446000618683,69.0665269987449,254830.04521288665,7674099.729788809
MI11227,KIL,20.84307200013441,69.06701599875485,254860.36851138395,7674151.516965548
MI11228,KIL,20.844555999382788,69.06702800404729,254919.41874543403,7674146.914529733
MI11229,KIL,20.84160699955047,69.06697599943857,254801.75937212867,7674152.936784581
MI1123,KIL,20.836336904975305,69.05412887959828,254448.6707818879,7672747.689505014
MI11230,KIL,20.839907000686015,69.06821700172014,254748.15761558668,7674297.521426954
MI11231,KIL,20.839646998750517,69.06875500344566,254743.85760640618,7674358.293460364
MI11232,KIL,20.838615000479262,69.06950600150769,254711.29705137073,7674445.803100095
MI11233,KIL,20.837590999358692,69.06982599817704,254674.2311587386,7674485.429489901
MI1195,KIL,20.833548610666675,69.068467563125,254498.54797482793,7674350.798459455
MI151,KIL,20.801695846627098,69.06549454324471,253200.6177076707,7674148.668327822
MI19,KIL,20.799466974335324,69.06000707714995,253050.3118911333,7673548.435816758
MI235,KIL,20.803684661679807,69.06737449734491,253300.74024225437,7674349.371255464
MI247,KIL,20.808508762072723,69.05491336135435,253352.07727845738,7672946.525224969
MI259,KIL,20.806860574142362,69.0602718117486,253346.89967693988,7673548.052253908
MI343,KIL,20.808898287582615,69.06216602110668,253449.12526716516,7673750.147663067
MI367,KIL,20.812228947494376,69.05506835694167,253501.58877272447,7672948.766013809
MI422,KIL,20.811546203722013,69.06181017730941,253550.26720664377,7673699.9915295085
MI475,KIL,20.811114454228736,69.06765505970132,253598.84377368898,7674350.628349045
MI511,KIL,20.81287876063461,69.0658875737482,253649.01451096294,7674147.308365426
MI529,KIL,20.81691360715643,69.05611828362908,253699.46122913202,7673046.495925583
MI547,KIL,20.814732141931426,69.06417580458151,253703.3597647173,7673949.817158949
MI553,KIL,20.81386114590388,69.0668603842421,253698.95002454487,7674251.361802537
MI583,KIL,20.816388156264885,69.06242136654936,253749.40063177573,7673748.383056317
MI607,KIL,20.819571075797583,69.05537850470473,253796.70732524217,7672953.687128517
MI667,KIL,20.818373966066297,69.06432222217876,253849.600754969,7673951.4409288
MI679,KIL,20.81689899249005,69.06966533114837,253851.0615170439,7674550.564197645
MI685,KIL,20.822400616831942,69.05453044616604,253899.58085636984,7672848.169924555
MI697,KIL,20.820847151782605,69.05986906423314,253897.8045986232,7673447.111675274
MI747,KIL,20.820849445499896,69.06438006961397,253948.53746523653,7673947.9225185085
MI751,KIL,20.820386596092227,69.06621813171455,253950.796922341,7674153.84573362
MI757,KIL,20.819614024988745,69.06888735430205,253950.0976246642,7674453.289128882
MI799,KIL,20.820562477391512,69.06978460461029,253997.8211999964,7674549.095732383
MI805,KIL,20.826114055288762,69.05469337528976,254048.91490214455,7672851.352265954
MI895,KIL,20.82731921918707,69.05925512921436,254147.94285678022,7673352.975370862
MI907,KIL,20.825830533213715,69.06458385434463,254148.59474466744,7673950.556866149
MI949,KIL,20.826902609976667,69.06551887988135,254201.64752991308,7674050.065615443
MI961,KIL,20.831657968944853,69.05309383853469,254251.20766353598,7672651.5284706615
PAL001,PAL,24.22860886892634,67.9768194692895,384059.156,7542879.948
PAL002,PAL,24.22579092754695,67.98262062911533,383970.364,7543531.469
PAL003,PAL,24.224363775814922,67.9860315469813,383927.786,7543914.115
PAL004,PAL,24.22025522326231,67.99081560015452,383780.06,7544454.766
PAL005,PAL,24.202586269801106,67.9998084713365,383087.133,7545489.872
PAL006,PAL,24.20792511751818,67.99720293726037,383297.009,7545189.533
PAL007,PAL,24.12515162529692,68.07871927227103,380262.201,7554428.349
PAL008,PAL,24.12876727333095,68.07286903176112,380382.382,7553769.677
PAL009,PAL,24.12891608763498,68.06967546713766,380372.028,7553413.654
PAL010,PAL,24.126612550776446,68.0688637730218,380271.896,7553327.703
PAL011,PAL,24.12122855843515,68.06856138014442,380046.121,7553304.468
PAL012,PAL,24.1219911064971,68.07000767873431,380085.389,7553464.091
PAL013,PAL,24.121132455659374,68.06810181969465,380039.731,7553253.464
PAL014,PAL,24.12889146785955,68.06672329464325,380355.704,7553084.856
PAL015,PAL,24.13735600049726,68.062488693502,380686.345,7552596.781
PAL016,PAL,24.133108231022533,68.05939236456955,380493.385,7552260.09
PAL017,PAL,24.136270594995413,68.05747670070181,380615.228,7552040.585
PAL018,PAL,24.139460534813402,68.05815341390496,380751.626,7552109.802
PAL019,PAL,24.14192270408017,68.05876389202353,380857.355,7552173.052
PAL020,PAL,24.14249505042265,68.0563931196967,380868.973,7551907.863
PAL021,PAL,24.191240586879527,68.00239794258479,382626.355,7545799.839
PAL022,PAL,24.189696795996618,68.00068186539666,382553.179,7545611.611
PAL023,PAL,24.190354221676362,68.00043388786045,382579.381,7545582.738
PAL024,PAL,24.160536166070887,68.02139824619579,381441.357,7547974.987
PAL025,PAL,24.14262156165211,68.01161964830612,380643.384,7546920.226
PAL026,PAL,24.082266795954574,68.0432763808591,378290.503,7550564.228
PAL027,PAL,24.06811211270473,68.03700911848216,377667.27,7549894.101
PAL028,PAL,24.061339499457674,68.04851228919696,377445.865,7551188.823
PAL029,PAL,24.059583767418417,68.04874706664097,377373.936,7551218.459
PAL030,PAL,24.08491056465686,68.01928895644309,378274.537,7547887.119
PAL031,PAL,24.093066803258658,68.02327009046523,378635.788,7548314.52
PAL032,PAL,24.048283043951642,67.99738247161825,376629.388,7545519.701
PAL033,PAL,24.04965432109487,67.9983238004841,376691.676,7545621.813
PAL034,PAL,24.05212599453385,68.00338231348239,376821.815,7546180.324
PAL035,PAL,24.07428778013236,68.01037577185342,377784.1878,7546915.28
PAL036,PAL,24.08021080866191,68.0071386813545,378014.4037,7546543.004
PAL037,PAL,24.088893829639517,68.0063919826823,378373.024,7546442.711
PAL038,PAL,24.107419673859088,68.00467870930872,379137.624,7546215.514
PAL039,PAL,24.11666511255747,68.00412594348528,379520.821,7546135.883
PAL040,PAL,24.1212280486746,68.00478382568198,379714.783,7546200.273
PAL041,PAL,24.156037172333953,68.02645015829029,381279.542,7548546.374
PAL042,PAL,24.17055544651081,68.05592531021715,382035.749,7551801.888
PAL043,PAL,24.171410469405778,68.0559442247127,382071.472,7551802.362
PAL044,PAL,24.12259103265301,67.98228223117245,379654.897,7543691.17
PAL045,PAL,24.127973412357655,67.9778235807959,379856.776,7543184.047
PAL046,PAL,24.122213415136542,67.97665323234062,379609.893,7543064.893
PAL047,PAL,24.13050028302673,67.97222239891447,379933.426,7542555.219
PAL048,PAL,24.128108935152625,67.96568708746668,379799.574,7541831.899
PAL049,PAL,24.147114102908144,67.98398979309044,380688.728,7543833.818
PAL050,PAL,24.08014658127679,67.98272850211099,377883.143,7543824.157
PAL051,PAL,24.067918397203787,67.98386805208109,377378.072,7543975.305
PAL052,PAL,24.068260837919443,67.99047887255166,377427.346,7544710.978
PAL053,PAL,24.084296951742996,67.99387384796455,378115.237,7545057.408
PAL054,PAL,24.14380001753925,68.0088234430871,380678.171,7546606.476
PAL055,PAL,24.146913189609915,68.00384895960156,380782.545,7546046.35
PAL056,PAL,24.153528056577965,67.98965904600787,380985.919,7544452.956
PAL057,PAL,24.165198647433023,67.98958591094463,381473.218,7544422.375
PAL058,PAL,24.17472666962933,67.98667171237005,381856.512,7544079.505
PAL059,PAL,24.17310743280394,67.99186973309345,381815.348,7544661.627
PAL060,PAL,24.167586505751064,67.99594645207232,381605.499,7545126.316
PAL061,PAL,24.171431112929508,67.99817147233124,381777.463,7545366.806
PAL062,PAL,24.165337293629403,68.00212225887067,381543.12,7545818.569
PAL063,PAL,24.15743192141288,68.00399975854963,381222.588,7546042.887
PAL064,PAL,24.160094714054253,68.00955343897866,381362.243,7546656.409
PAL065,PAL,24.1870794743213,67.99298249358421,382404.789,7544758.922
PAL066,PAL,24.191769789511874,67.9874620101293,382572.79,7544135.05
PAL067,PAL,24.201277736195305,67.9594041883251,382828.5,7540991.506
PAL068,PAL,24.183509407652018,67.9537597983534,382056.368,7540396.552
PAL069,PAL,24.17622778537351,67.95588947588851,381762.465,7540647.698
PAL070,PAL,24.18754731311881,67.96099391669279,382262.056,7541194.689
PAL071,PAL,24.18029841188206,67.96365387868293,381972.298,7541504.82
PAL072,PAL,24.190703434843428,67.96632306406195,382421.107,7541782.316
PAL073,PAL,24.182772262731763,67.9733064152505,382124.837,7542575.33
PAL074,PAL,24.176369544916223,67.97514247910216,381866.449,7542792.083
PAL075,PAL,24.171314666446097,67.97255357933214,381641.88,7542513.37
PAL076,PAL,24.164147102121223,67.96690157522889,381313.24,7541897.525
PAL077,PAL,24.179998927647603,67.96752108505703,381979.439,7541936.174
PAL078,PAL,24.19497949758432,67.9681876855346,382609.406,7541981.895
PAL079,PAL,24.13614960778855,67.99864012387351,380306.141,7545486.943
PAL080,PAL,24.133426352635148,67.99800363025942,380189.1,7545421.322
PAL081,PAL,24.10678107948485,67.9834725544451,379000.275,7543854.636
PAL082,PAL,24.09645670715938,67.9873564991751,378589.099,7544307.515
PAL083,PAL,24.111873158174227,67.97240232015935,379155.434,7542611.571
PAL084,PAL,24.119369199435344,67.97030795213745,379458.01,7542363.64
PAL085,PAL,24.119087397407345,67.96118132762304,379398.802,7541347.581
PAL086,PAL,24.118912846310167,67.95820062178186,379376.011,7541015.903
PAL087,PAL,24.131576791198125,67.9518598626251,379873.098,7540284.941
PAL088,PAL,24.135849888504254,67.95286692087943,380057.146,7540388.818
PAL089,PAL,24.13770369271967,67.95424874981133,380141.865,7540539.144
PAL090,PAL,24.172497031388815,68.00733452700568,381868.73,7546385.471
PAL091,PAL,24.130617171398256,68.00373741827238,380101.4401,7546065.462
PAL092,PAL,24.12063265989188,67.99982470721825,379664.1596,7545649.037
PAL093,PAL,24.12420553885433,67.99786357033456,379803.2141,7545423.631
